class,image_path,name,xmax,xmin,ymax,ymin
7.0,953ab1447c46ecfef67ab14629cd70c7.jpg,BAD_BILLBOARD,702.2060546875,606.0642700195312,223.54852294921875,172.29254150390625
3.0,953ab1447c46ecfef67ab14629cd70c7.jpg,GARBAGE,430.39349365234375,383.13421630859375,284.19537353515625,250.32876586914062
3.0,953ab1447c46ecfef67ab14629cd70c7.jpg,GARBAGE,442.6268310546875,391.9688720703125,299.03692626953125,261.22125244140625
3.0,e4ddbaa7970fca225a51288ce5f7d3f9.jpg,GARBAGE,629.232666015625,500.051025390625,417.3057861328125,325.29949951171875
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,420.41668701171875,197.77157592773438,521.7678833007812,316.61431884765625
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,738.5723876953125,502.581298828125,512.2708129882812,341.65399169921875
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,564.5047607421875,489.4190673828125,255.99192810058594,196.90447998046875
2.0,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,638.4954223632812,493.124755859375,392.43072509765625,282.6903076171875
9.0,138b1dc82005b4c33e4886260649d313.jpg,CLUTTER_SIDEWALK,638.6405029296875,383.8016357421875,244.49761962890625,168.5560760498047
2.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,445.2653503417969,321.2738952636719,238.78317260742188,166.87701416015625
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,960.0,882.03515625,251.0013885498047,156.1826171875
8.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,960.0,782.20751953125,253.18116760253906,72.06819152832031
2.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,572.3732299804688,422.1995544433594,244.8310546875,160.32330322265625
8.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,705.5647583007812,558.8383178710938,210.34368896484375,124.80776977539062
8.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,855.1651611328125,638.829833984375,244.55120849609375,106.38265228271484
3.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,685.9172973632812,573.5755615234375,218.8966827392578,146.92799377441406
2.0,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,215.51788330078125,0.0,484.68292236328125,204.18609619140625
7.0,dfd51a42c03dc458daf2fbe071efee9d.jpg,BAD_BILLBOARD,960.0,847.8177490234375,152.211669921875,27.312097549438477
3.0,dfd51a42c03dc458daf2fbe071efee9d.jpg,GARBAGE,960.0,836.802001953125,269.95843505859375,191.11033630371094
7.0,dfd51a42c03dc458daf2fbe071efee9d.jpg,BAD_BILLBOARD,824.989501953125,715.5980224609375,171.21371459960938,96.45780944824219
2.0,ab0e2122d7786186da2e1c4a3d3d6fb4.jpg,POTHOLES,772.518310546875,476.5049743652344,540.0,422.82879638671875
9.0,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,CLUTTER_SIDEWALK,960.0,545.6943969726562,367.3878173828125,213.0076446533203
3.0,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,GARBAGE,81.18816375732422,43.38386535644531,201.85479736328125,163.2859344482422
3.0,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,GARBAGE,48.61796951293945,5.554956436157227,201.66226196289062,160.83578491210938
9.0,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,CLUTTER_SIDEWALK,617.9683227539062,3.0208511352539062,360.9803771972656,195.96292114257812
3.0,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,GARBAGE,898.85888671875,849.09375,221.76565551757812,181.05520629882812
4.0,443a50c860568eb0e6188525400f1736.jpg,CONSTRUCTION_ROAD,476.60833740234375,365.0058898925781,238.46151733398438,177.69024658203125
4.0,443a50c860568eb0e6188525400f1736.jpg,CONSTRUCTION_ROAD,357.4266357421875,200.44619750976562,265.013916015625,175.53768920898438
4.0,443a50c860568eb0e6188525400f1736.jpg,CONSTRUCTION_ROAD,266.069091796875,5.063198089599609,297.8032531738281,161.88818359375
3.0,ea57cc594dba39b5b25617a7f6ae87d5.jpg,GARBAGE,400.3605651855469,269.43280029296875,264.8641357421875,157.5033416748047
9.0,1697d2971efa752abd823083978cb3b1.jpg,CLUTTER_SIDEWALK,795.6315307617188,382.0568542480469,316.188232421875,232.55982971191406
3.0,3dea470248e8637636a0f89697b41236.jpg,GARBAGE,0.0,0.0,0.0,0.0
3.0,54bd134d15e7b274e3811b61257c12b9.jpg,GARBAGE,431.10369873046875,307.67730712890625,247.9274139404297,157.43984985351562
4.0,1745703a49f8870571667504fa93f585.jpg,CONSTRUCTION_ROAD,955.8883056640625,336.7701110839844,536.6988525390625,136.16818237304688
4.0,1745703a49f8870571667504fa93f585.jpg,CONSTRUCTION_ROAD,702.7362060546875,0.0,540.0,107.32978820800781
4.0,1745703a49f8870571667504fa93f585.jpg,CONSTRUCTION_ROAD,960.0,634.1569213867188,286.0664978027344,101.675537109375
0.0,9f7b4611104b81e0c3e4f7e12dabe7ad.jpg,GRAFFITI,446.96923828125,0.6963729858398438,233.97061157226562,4.08416748046875
0.0,9f7b4611104b81e0c3e4f7e12dabe7ad.jpg,GRAFFITI,158.22303771972656,0.0,205.37472534179688,14.909826278686523
